iter	Passed	Remaining
207	720	2744
208	724	2741
209	726	2733
210	728	2725
211	734	2730
212	737	2725
213	739	2716
214	743	2713
215	745	2707
216	753	2717
217	756	2714
218	759	2707
219	761	2699
220	763	2692
221	766	2686
222	769	2680
223	775	2685
224	779	2684
225	781	2675
226	784	2670
227	786	2662
228	788	2654
229	792	2651
230	794	2643
231	798	2641
232	800	2634
233	804	2633
234	806	2626
235	809	2621
236	812	2616
237	815	2609
238	820	2611
239	822	2604
240	824	2598
241	827	2592
242	829	2585
243	832	2578
244	834	2570
245	837	2565
246	839	2558
247	842	2555
248	845	2549
249	847	2542
250	850	2537
251	855	2540
252	858	2534
253	864	2538
254	868	2536
255	906	2635
256	909	2629
257	913	2626
258	916	2623
259	919	2615
260	921	2608
261	925	2606
262	938	2630
263	943	2631
264	946	2624
265	950	2622
266	966	2652
267	968	2644
268	971	2638
269	973	2632
270	976	2627
271	978	2620
272	981	2612
273	985	2610
274	987	2604
275	990	2597
276	992	2591
277	996	2587
278	1001	2587
279	1003	2580
280	1006	2574
281	1009	2569
282	1013	2566
283	1014	2558
284	1016	2550
285	1019	2544
286	1021	2537
287	1023	2530
288	1026	2524
289	1028	2517
290	1033	2517
291	1035	2511
292	1039	2508
293	1042	2502
294	1044	2496
295	1047	2490
296	1049	2484
297	1051	2478
298	1053	2470
299	1057	2467
300	1059	2460
301	1061	2453
302	1066	2453
303	1068	2446
304	1072	2442
305	1074	2436
306	1077	2432
307	1079	2425
308	1081	2418
309	1084	2412
310	1085	2405
311	1088	2401
312	1092	2396
313	1095	2392
314	1098	2388
315	1100	2382
316	1103	2376
317	1105	2371
318	1107	2365
319	1109	2358
320	1113	2355
321	1121	2361
322	1126	2360
323	1129	2357
324	1134	2355
325	1137	2352
326	1140	2348
327	1144	2345
328	1149	2343
329	1152	2339
330	1154	2334
331	1157	2329
332	1159	2322
333	1161	2316
334	1165	2312
335	1167	2307
336	1170	2303
337	1172	2296
338	1189	2318
339	1196	2323
340	1199	2317
341	1201	2311
342	1203	2305
343	1205	2299
344	1207	2292
345	1209	2287
346	1213	2282
347	1214	2276
348	1217	2271
349	1219	2265
350	1221	2258
351	1225	2255
352	1228	2251
353	1232	2248
354	1234	2242
355	1236	2236
356	1240	2234
357	1243	2229
358	1246	2225
359	1248	2219
360	1250	2213
361	1254	2210
362	1256	2204
363	1259	2201
364	1262	2195
365	1263	2189
366	1267	2186
367	1269	2180
368	1272	2175
369	1276	2172
370	1278	2166
371	1283	2166
372	1285	2161
373	1290	2159
374	1298	2164
375	1302	2162
376	1306	2159
377	1309	2154
378	1313	2151
379	1315	2147
380	1326	2154
381	1329	2150
382	1332	2146
383	1339	2149
384	1342	2144
385	1347	2144
386	1352	2142
387	1361	2147
388	1363	2142
389	1367	2138
390	1377	2144
391	1379	2139
392	1381	2133
393	1383	2128
394	1385	2122
395	1387	2116
396	1390	2112
397	1393	2107
398	1400	2108
399	1402	2103
400	1406	2101
401	1410	2098
402	1413	2093
403	1415	2087
404	1418	2083
405	1421	2079
406	1423	2073
407	1428	2072
408	1432	2069
409	1434	2064
410	1437	2059
411	1442	2059
412	1444	2053
413	1449	2051
414	1451	2046
415	1456	2045
416	1459	2041
417	1462	2035
418	1469	2037
419	1471	2032
420	1474	2027
421	1479	2025
422	1481	2020
423	1485	2017
424	1488	2013
425	1490	2008
426	1494	2005
427	1496	2000
428	1498	1994
429	1501	1989
430	1502	1983
431	1505	1979
432	1508	1974
