iter	Passed	Remaining
150	274	1542
151	275	1534
152	275	1527
153	276	1519
154	277	1511
155	278	1504
156	278	1496
157	279	1489
158	280	1482
159	280	1474
160	281	1466
161	282	1460
162	283	1457
163	284	1452
164	285	1446
165	286	1440
166	287	1433
167	288	1427
168	288	1420
169	289	1414
170	290	1408
171	291	1402
172	292	1396
173	292	1390
174	293	1383
175	294	1377
176	295	1371
177	295	1366
178	296	1360
179	298	1360
180	299	1355
181	300	1349
182	301	1344
183	301	1338
184	302	1333
185	303	1327
186	304	1322
187	304	1316
188	305	1311
189	306	1305
190	306	1300
191	307	1294
192	308	1290
193	309	1284
194	309	1279
195	310	1274
196	311	1268
197	312	1265
198	313	1263
199	314	1259
200	315	1254
201	316	1249
202	317	1245
203	317	1240
204	318	1235
205	319	1230
206	319	1225
207	320	1221
208	321	1216
209	322	1211
210	322	1206
211	323	1202
212	324	1197
213	324	1193
214	325	1188
215	326	1184
216	327	1181
217	328	1179
218	329	1175
219	330	1171
220	331	1167
221	331	1162
222	332	1158
223	333	1154
224	334	1150
225	334	1146
226	335	1142
227	336	1138
228	337	1135
229	337	1131
230	338	1127
231	339	1124
232	340	1120
233	340	1116
234	342	1114
235	343	1111
236	344	1108
237	344	1104
238	345	1100
239	346	1097
240	347	1093
241	347	1089
242	348	1086
243	349	1082
244	350	1078
245	350	1075
246	351	1071
247	352	1068
248	352	1064
249	353	1060
250	354	1057
251	355	1053
252	355	1050
253	356	1047
254	357	1045
255	358	1043
256	359	1040
257	360	1037
258	361	1033
259	362	1030
260	362	1027
261	363	1023
262	364	1020
263	364	1017
264	365	1014
265	366	1010
266	367	1007
267	367	1004
268	368	1001
269	369	998
270	369	995
271	370	992
272	372	990
273	373	988
274	374	986
275	374	983
276	375	980
277	376	977
278	377	974
279	377	971
280	378	968
281	379	966
282	380	963
283	380	959
284	381	957
285	382	954
286	382	951
287	383	948
288	384	945
289	385	942
290	386	942
291	387	940
292	388	937
293	389	935
294	390	932
295	390	929
296	391	927
297	392	924
298	393	922
299	394	919
300	394	916
301	395	914
302	396	911
303	396	908
304	397	905
305	398	903
306	399	900
307	399	898
308	401	898
309	402	895
310	403	893
311	404	891
312	404	888
313	405	886
314	406	883
315	407	881
316	407	878
317	408	876
318	409	874
319	410	871
320	411	869
321	411	867
322	412	864
323	413	862
324	414	860
325	415	858
326	416	857
327	417	855
328	418	852
329	418	850
330	419	847
331	420	845
332	421	843
333	421	840
334	422	838
335	423	836
336	423	833
337	424	831
338	425	829
339	425	826
340	426	824
341	427	822
342	428	820
343	428	817
344	429	816
345	430	814
346	431	812
347	432	809
348	433	807
349	433	805
350	434	803
351	435	801
352	435	798
353	436	796
354	437	794
355	437	792
356	438	790
357	439	787
358	440	785
359	440	783
360	441	781
361	442	779
362	443	777
363	443	775
364	444	773
365	445	771
366	446	769
367	447	767
368	447	765
369	448	763
370	449	761
371	449	759
372	450	757
373	451	755
374	452	753
375	452	751
376	453	749
377	454	747
378	455	745
379	455	743
380	456	741
381	457	739
382	457	737
383	458	735
384	459	734
385	460	732
386	461	731
387	462	729
388	462	727
389	463	725
390	464	723
391	465	721
392	465	719
393	466	717
394	467	715
395	467	713
396	468	711
397	469	709
398	470	707
399	470	706
400	471	704
401	472	702
402	472	700
403	473	698
404	474	697
405	475	695
406	476	693
407	476	691
408	477	690
409	478	688
410	478	686
411	479	684
412	480	682
413	481	681
414	481	679
415	482	677
416	483	675
417	483	673
418	484	672
419	485	670
420	486	668
421	486	666
422	487	665
423	488	663
424	489	661
425	490	660
426	490	658
427	491	657
428	492	655
429	493	653
430	493	651
431	494	650
432	495	648
433	496	646
434	496	645
435	497	643
436	498	641
437	498	640
438	499	638
439	500	636
440	500	635
441	501	633
442	502	631
443	503	630
444	504	628
445	505	627
446	506	626
447	506	624
448	507	622
449	508	621
450	509	619
451	509	618
452	510	616
453	511	614
454	512	613
455	512	611
456	513	610
457	514	608
458	514	606
459	515	605
460	516	603
461	516	601
462	517	600
463	518	598
464	519	597
465	520	596
466	520	594
467	521	592
468	522	591
469	523	590
470	524	588
471	524	587
472	525	585
473	526	584
474	527	582
475	528	581
476	529	580
477	529	578
478	530	577
479	531	575
480	532	574
481	532	572
482	534	571
483	534	570
484	535	568
485	537	567
